Split,Athlete In Front,Quarter Time (s),Team Speed (km/h),Delivery Speed (km/h),Event,splitType,endTime,frontRiderIndex,deliveryAdjusted
Q1,Emily,9.18,24.51,24.51,None,QUARTER,23.656462,0,0
Q2,Emily,4.999992,45,45,None,QUARTER,28.656454,0,0
Q3,Emily,4.304944,52.265,52.265,None,QUARTER,32.961398,0,0
Q4,Emily,4.079996,55.147,55.147,None,QUARTER,37.041394,0,0
Q5,Emily,3.899994,57.692,57.692,None,QUARTER,40.941388,0,0
Q6,Emily,3.819996,58.901,58.901,None,QUARTER,44.761384,0,0
Q7,Emily,3.759999,59.84,59.84,None,QUARTER,48.521383,0,0
Q8,Emily,3.739999,60.16,60.16,None,QUARTER,52.261382,0,0
Q9,Emily,3.84,58.594,58.594,Change,QUARTER,56.101382,0,1
Q10,Prue,3.699997,60.811,60.811,None,QUARTER,59.801379,1,0
Q11,Prue,3.679999,61.141,61.141,None,QUARTER,63.481378,1,0
Q12,Prue,3.7,60.811,60.811,None,QUARTER,67.181378,1,0
Q13,Prue,3.66,61.475,61.475,None,QUARTER,70.841378,1,0
Q14,Prue,3.66,61.475,61.475,None,QUARTER,74.501378,1,0
Q15,Prue,3.66,61.475,61.475,None,QUARTER,78.161378,1,0
Q16,Prue,3.679999,61.141,61.141,None,QUARTER,81.841377,1,0
Q17,Prue,3.799999,59.211,59.211,Change,QUARTER,85.641376,1,1
Q18,Bryony,3.699999,60.811,60.811,None,QUARTER,89.341375,2,0
Q19,Bryony,3.679999,61.141,61.141,None,QUARTER,93.021374,2,0
Q20,Bryony,3.7,60.811,60.811,None,QUARTER,96.721374,2,0
Q21,Bryony,3.72,60.484,60.484,None,QUARTER,100.441374,2,0
Q22,Bryony,3.7,60.811,60.811,None,QUARTER,104.141374,2,0
Q23,Bryony,3.72,60.484,60.484,None,QUARTER,107.861374,2,0
Q24,Bryony,3.76,59.84,59.84,None,QUARTER,111.621374,2,0
Q25,Bryony,3.879997,57.99,57.99,Change,QUARTER,115.501371,2,1
Q26,Ally,3.74,60.16,60.16,None,QUARTER,119.241371,3,0
Q27,Ally,3.699999,60.811,60.811,None,QUARTER,122.94137,3,0
Q28,Ally,3.68,61.141,61.141,None,QUARTER,126.62137,3,0
Q29,Ally,3.699999,60.811,60.811,None,QUARTER,130.321369,3,0
Q30,Ally,3.7,60.811,60.811,None,QUARTER,134.021369,3,0
Q31,Ally,3.699999,60.811,60.811,None,QUARTER,137.721368,3,0
Q32,Ally,3.7,60.811,60.811,None,QUARTER,141.421368,3,0
Q33,Ally,3.72,60.484,60.484,None,QUARTER,145.141368,3,0
Q34,Ally,3.74,60.16,60.16,None,QUARTER,148.881368,3,0
Q35,Ally,4.04,55.693,55.693,Change,QUARTER,152.921368,3,1
Q36,Emily,3.839996,58.594,58.594,None,QUARTER,156.761364,0,0
Q37,Emily,3.979998,56.533,56.533,Drop,QUARTER,160.741362,0,1
Q38,Prue,3.879998,57.99,57.99,None,QUARTER,164.62136,1,0
Q39,Prue,3.9,57.692,57.692,None,QUARTER,168.52136,1,0
Q40,Prue,3.9,57.692,57.692,None,QUARTER,172.42136,1,0
Q41,Prue,3.88,57.99,57.99,None,QUARTER,176.30136,1,0
Q42,Prue,3.899999,57.692,57.692,None,QUARTER,180.201359,1,0
Q43,Prue,4.02,55.97,55.97,Change,QUARTER,184.221359,1,1
Q44,Bryony,3.899998,57.692,57.692,None,QUARTER,188.121357,2,0
Q45,Bryony,3.9,57.692,57.692,None,QUARTER,192.021357,2,0
Q46,Bryony,3.92,57.398,57.398,None,QUARTER,195.941357,2,0
Q47,Bryony,4.08,55.147,55.147,Change,QUARTER,200.021357,2,1
Q48,Ally,3.939998,57.107,57.107,None,QUARTER,203.961355,3,0
Q49,Ally,3.96,56.818,56.818,None,QUARTER,207.921355,3,0
Q50,Ally,3.96,56.818,56.818,None,QUARTER,211.881355,3,0
Q51,Ally,3.919998,57.398,57.398,None,QUARTER,215.801353,3,0
Q52,Ally,3.96,56.818,56.818,None,QUARTER,219.761353,3,0
Q53,Ally,3.899999,57.692,57.692,None,QUARTER,223.661352,3,0
Q54,Ally,3.92,57.398,57.398,None,QUARTER,227.581352,3,0
Q55,Ally,3.919999,57.398,57.398,None,QUARTER,231.501351,3,0
Q56,Ally,3.94,57.107,57.107,None,QUARTER,235.441351,3,0
Q57,Ally,3.96,56.818,56.818,None,QUARTER,239.401351,3,0
Q58,Ally,3.96,56.818,56.818,None,QUARTER,243.361351,3,0
Q59,Ally,4.08,55.147,55.147,Change,QUARTER,247.441351,3,1
Q60,Prue,3.939998,57.107,57.107,None,QUARTER,251.381349,1,0
Q61,Prue,3.879998,57.99,57.99,None,QUARTER,255.261347,1,0
Q62,Prue,3.899998,57.692,57.692,None,QUARTER,259.161345,1,0
Q63,Prue,3.879997,57.99,57.99,None,QUARTER,263.041342,1,0
Q64 (Finish),Prue,4.179986,53.828,55.147,Rider Finish,TEAM_FINISH,267.221328,1,1
# startTime,14.476462,,,,,,,,
# title,260730-W-TP-F-NZL,,,,,,,,
# rider1,Emily,,,,,,,,
# rider2,Prue,,,,,,,,
# rider3,Bryony,,,,,,,,
# rider4,Ally,,,,,,,,
Q1,Sami,9.319999,24.142,24.142,None,QUARTER,20.026716,0,0
Q2,Sami,5.112012,44.014,44.014,None,QUARTER,25.138728,0,0
Q3,Sami,4.339992,51.843,51.843,None,QUARTER,29.47872,0,0
Q4,Sami,4.125621,54.537,54.537,None,QUARTER,33.604341,0,0
Q5,Sami,3.979994,56.533,56.533,None,QUARTER,37.584335,0,0
Q6,Sami,3.859998,58.29,58.29,None,QUARTER,41.444333,0,0
